2011-03-10,Michael K. Williams,JJiL6ps8hZQ,false,null,493 515 504 541 336 543,,
2011-04-19,Bill Hader,348qOuXOAXo,false,null,4 539 17 375 144 542,,
2011-04-18,Guy Maddin,TowINv3Oq8E,false,31,98 59 360 363 377 389 404 407 539 93 409 536 440,578,Guy mentions <cite>L&apos;Atalante</cite>&comma; which can be found on the <cite>The Complete Jean Vigo</cite>.
2011-09-12,Robert Downey Sr.,ZHBVH6ut2k8,false,46,140 545 414,250,Robert is holding <a href=\"criterion.com/boxsets/769\">America Lost and Found: The BBS Story</a> while talking about an interaction with Jack Nicholson. <cite>Easy Rider</cite> is marked here&comma; as the box set doesn&apos;t have a spine number.
2011-10-05,Adrian Utley,ZqNSY5xz_r8,false,null,162 62 535 56,542,
2011-11-03,Andr&eacute; Bonzel,M0vs4ni4Tuo,false,158,5 400 109 358 51 539,,
2012-01-10,Wim Wenders,PtVA6nKygFs,false,48,216 17 512 466,,Wim mentions <cite>Le petit soldat</cite>&comma; another Godard film&comma; which is not available on Criterion.<br>Wim picks up the Eclipse Series box set <a href=\"https://www.criterion.com/boxsets/720-eclipse-series-21-oshima-s-outlaw-sixties\">Oshima&apos;s Outlaw Sixties</a>. This graph does not currently handle box sets&comma; so I subbed in <cite>In the Realm of the Senses</cite>.
2012-04-12,Philip Kaufman,5sMFHvBEvKI,false,49,4 36 533 261 249 241,,
2012-04-24,Harris Savides,cQFAPBbjsaI,false,null,522 541 339 164 261 374,588,Harris talks in depth on only a couple movies&comma; and one only sees flashes of the covers he is holding. <cite>Solaris</cite>&comma; <cite>Fanny & Alexander</cite> and <cite>Bicycle Thieves</cite> were identified by sight.
2012-08-06,Brothers Quay,y7JQUoUcE20,true,null,437 479 323 480 619,,The brothers specifically mention <a href=\"https://www.criterion.com/films/673-phantom-india\">Phantom India</a>&comma; a movie in the Eclipse box set <a href=\"https://www.criterion.com/boxsets/275-eclipse-series-2-the-documentaries-of-louis-malle\">The Documentaries of Louis Malle</a> - <cite>My Dinner with Andr&eacute;</cite> is in its place. They also take the two Aki Kaurism&auml;ki eclipse box sets; <a href=\"https://www.criterion.com/boxsets/564-eclipse-series-12-aki-kaurism-ki-s-proletariat-trilogy\">Proletariat Trilogy</a>&comma; <a href=\"https://www.criterion.com/boxsets/835-eclipse-series-29-aki-kaurism-ki-s-leningrad-cowboys\">Leningrad Cowboys</a>.
2012-09-28,Jack Garfein,LhDI8R0Mskg,false,101,250 241 321 124 603,,<cite>Virgin Spring</cite> is here in place of <a href=\"https://www.criterion.com/boxsets/576-ingmar-bergman-four-masterworks\">Ingmar Bergman: Four Masterworks</a>.
2013-01-14,Guillermo del Toro,49Al7eYy6sg,false,82,5 44 48 57 533 536 537 483,538,
2013-01-30,James Acheson,-3Q3AQ4W9Wk,false,null,166 374 235,,
2013-05-09,Alec Baldwin,aRQ4DRUIJBc,false,null,657 631 537,,
2013-07-19,Nicolas Winding Refn,WMfI1AVAF_8,false,null,397 624 566 654 660 647,507 563 565,
2013-10-04,Alfonso Cuar&oacute;n and Pawel Pawlikowski,BGvcB42YnM8,true,88,512 503 145 578 670 308 321 414 417 307,,They pick up <a href=\"https://www.criterion.com/boxsets/75-eclipse-series-11-larisa-shepitko\">Eclipse Series 11: Larisa Shepitko</a>&comma; which is a box set.
2014-07-08,Bong Joon Ho,qBgZQCkUp7E,false,null,697 217 190 48 29 466 639 666 658 654,36 423,Replaced Oshima&apos;s 60s with <cite>In the Realm of the Senses</cite>.
2014-08-04,Richard Ayoade,yNWUQWSFeQ8,false,null,612 619,89 71 570 701 581,
2014-09-26,Slavoj &Zcaron;i&zcaron;ek,OqpxT_iJ8Mc,false,null,107 555 29 328 761 426 31 456 680 124 723 542,287 86,Slavoj talks about <cite>The Joke</cite>&comma; which can be found on <a href=\"https://www.criterion.com/boxsets/870-eclipse-series-32-pearls-of-the-czech-new-wave\">Pearls of the Czech New Wave</a> - <cite>Valerie and Her Week of Wonders</cite> is in its place. He also takes <a href=\"https://www.criterion.com/boxsets/582-eclipse-series-14-rossellini-s-history-films-renaissance-and-enlightenment\">Rossellini&apos;s History Films</a> - <cite>The Taking of Power by Louis XIV</cite> is in its place. He also mentions <cite>Fitzcarraldo</cite>&comma; <cite>Aguirre&comma; the Wrath of God</cite> and <cite>The Magnificent Ambersons</cite>&comma; which are not on Criterion.
2014-10-03,William Friedkin,63VRJQYcNn0,false,null,214 383 140,629 254 437 314 201 30,
2014-10-17,Volker Schl&ouml;ndorff,Egip8AX68EI,false,94,278 724,279 192 580 619 324 396 389,
2014-12-16,Mike Leigh,f31TXhdC-Ps,false,77,,374 512 711 331 710 145 411 281 286,
2015-01-22,Ruben &Ouml;stlund,0Z2UYLTsPwY,false,null,721 374 261,740 332 102 259,<a href=\"https://youtu.be/ee925OTFBCA\">Worst Man Cry Ever</a>&comma; <a href=\"https://youtu.be/y-nkUnAcZtA\">Idiot Spanish Busdriver Almost Kills Students</a>&comma; <a href=\"https://youtu.be/LU8DDYz68kM\">Battle At Kruger</a>&comma; <a href=\"https://youtu.be/jhv9HJaA67c\">Taxi Driver Interview</a>.
2015-03-04,Edgar Wright,M99gL8IBMZw,false,null,260 423 190 745,,Edgar mentions Wes Anderson&apos;s Criterion movies&comma; but says he has them all.
