246,I vitelloni,0,0,1953,966-i-vitelloni
248,Videodrome,17,6,1983,240-videodrome
249,The Battle of Algiers,53,0,1966,248-the-battle-of-algiers
250,John Cassavetes: Five Films,18,3,1974,558-john-cassavetes-five-films
251,Shadows,18,3,1959,500-shadows
253,A Woman Under the Influence,18,3,1974,510-a-woman-under-the-influence
254,The Killing of a Chinese Bookie,18,3,1974,958-the-killing-of-a-chinese-bookie
259,Fat Girl,107,1,2001,548-fat-girl
260,Eyes Without a Face,97,1,1960,950-eyes-without-a-face
261,Fanny and Alexander Box Set,52,12,1982,206-fanny-and-alexander-box-set
275,Tout va bien,15 116,1,1972,929-tout-va-bien
276,The River,47,1,1951,679-the-river
277,My Own Private Idaho,28,3,1991,249-my-own-private-idaho
278,L&apos;eclisse,9,0,1962,928-l-eclisse
279,Young T&ouml;rless,94,7,1966,926-young-t-rless
281,Jules and Jim,1,1,1962,218-jules-and-jim
286,Divorce Italian Style,99,0,1961,877-divorce-italian-style
287,Burden on Dreams,90,3,1982,546-burden-of-dreams
297,Au hasard Balthazar,22,1,1966,455-au-hasard-balthazar
298,Gate of Flesh,162,8,1964,863-gate-of-flesh
301,An Angel at My Table,205,30,1990,742-an-angel-at-my-table
303,Bad Timing,70,2,1980,744-bad-timing
306,Le samoura&iuml;,160,1,1967,184-le-samoura
307,Naked,77,2,1993,220-naked
308,Masculin f&eacute;minin,15,1,1966,508-masculin-f-minin
314,Pickpocket,22,1,1959,229-pickpocket
315,Shoot the Piano Player,1,1,1960,764-shoot-the-piano-player
321,The Virgin Spring,52,12,1960,372-the-virgin-spring
323,The Children Are Watching Us,58,0,1944,772-the-children-are-watching-us
324,La b&ecirc;te humaine,47,1,1938,773-la-b-te-humaine
326,Metropolitan,221,3,1990,774-metropolitan
328,Murmur of the Heart,57,1,1971,775-murmur-of-the-heart
331,Late Spring,78,8,1949,298-late-spring
332,Viridiana,106,19,1961,373-viridiana
336,Dazed and Confused,19,3,1993,314-dazed-and-confused
339,Yi Yi,54,13,2000,781-yi-yi
342,Six Moral Tales,139,1,1970,417-six-moral-tales
352,Jigoku,129,8,1960,797-jigoku
353,S&oacute;lo con tu pareja,88,18,1991,798-s-lo-con-tu-pareja
356,Sweetie,205,30,1989,749-sweetie
358,Pandora&apos;s Box,20,7,1929,362-pandora-s-box
360,Symbiopsychotaxiplasm,21,3,1968,751-symbiopsychotaxiplasm
363,Mouchette,22,1,1967,456-mouchette
374,Bicycle Thieves,58,0,1948,210-bicycle-thieves
375,Green for Danger,23,2,1946,815-green-for-danger
377,When a Woman Ascends the Stairs,24,8,1960,816-when-a-woman-ascends-the-stairs
381,La haine,174,1,1995,216-la-haine
382,Overlord,181,2,1975,550-overlord
383,Brute Force,92,3,1947,820-brute-force
387,La Jet&eacute;e / Sans Soleil,148,1,1983,304-sans-soleil
389,WR: Mysteries of the Organism,25,9,1971,824-wr-mysteries-of-the-organism
391,If...,76,2,1968,825-if
396,Ace in the Hole,95,3,1951,829-ace-in-the-hole
397,Ivan&apos;s Childhood,55,14,1962,830-ivan-s-childhood
400,Stranger Than Paradise,26,3,1984,252-stranger-than-paradise
404,Robinson Crusoe on Mars,27,3,1964,821-robinson-crusoe-on-mars
406,Martha Graham: Dance on Film,222,3,1959,835-martha-graham-dance-on-film
407,Mala Noche,28,3,1985,253-mala-noche
408,Breathless,15,1,1960,268-breathless
409,Days of Heaven,29,3,1978,213-days-of-heavens
410,Under the Volcano,194,3,1984,837-under-the-volcano
411,Berlin Alexanderplatz,98,7,1980,839-berlin-alexanderplatz
414,Two-Lane Blacktop,30,3,1971,847-two-lane-blacktop
415,The Naked Prey,124,3,1966,848-the-naked-prey
417,This Sporting Life,76,2,1963,853-this-sporting-life
421,Pierrot le fou,15,1,1965,149-pierrot-le-fou
423,Walker,71,3,1987,526-walker
425,Antonio Gaud&iacute;,171,8,1984,536-antonio-gaud
426,The Ice Storm,86,3,1997,336-the-ice-storm
432,Mishima: A Life in Four Chapters,127,3,1985,588-mishima-a-life-in-four-chapters
433,Patriotism,125 126,8,1966,589-patriotism
437,Vampyr,6,11,1932,661-vampyr
440,Brand upon the Brain!,31,6,2006,746-brand-upon-the-brain
444,Le plaisir,61,1,1952,572-le-plaisir
449,Missing,121,3,1982,769-missing
450,Bottle Rocket,112,3,1996,594-bottle-rocket
454,Europa,41,11,1991,768-europa
455,White Dog,16,3,1982,861-white-dog
456,The Taking of Power by Louis XIV,87,0,1966,971-the-taking-of-power-by-louis-xiv
457,Magnificent Obsession,165,3,1954,973-magnificent-obsession
458,El Norte,132,26 3,1983,972-el-norte
460,Simon of the Desert,106,18,1965,1077-simon-of-the-desert
466,In the Realm of the Senses,38,8,1976,1287-in-the-realm-of-the-senses
471,Pigs&comma; Pimps & Prostitutes: 3 Films by Shohei Imamura,119,8,1963,613-pigs-pimps-prostitutes-3-films-by-shohei-imamura
475,The Friends of Eddie Coyle,32,3,1973,1426-the-friends-of-eddie-coyle
477,Bergman Island,138,12,2006,556-bergman-island
479,My Dinner with Andr&eacute;,57,3,1981,1039-my-dinner-with-andr
480,The Human Condition,59,8,1959,2106-the-human-condition
481,Made in U.S.A,15,1,1966,2109-made-in-u-s-a
483,Repulsion,65,2,1965,404-repulsion
484,Jeanne Dielman&comma; 23&comma; quai du Commerce&comma; 1080 Bruxelles,110,1 24,1975,302-jeanne-dielman-23-quai-du-commerce-1080-bruxelles
485,The Last Dats of Disco,221,3,1998,2954-the-last-days-of-disco
488,Howards End,134,2,1992,1515-howards-ends
489,Monsoon Wedding,177,28,2001,2364-monsoon-wedding
490,Wings of Desire,48,7,1987,200-wings-of-desire
491,Z,121,21 1,1969,1400-z
493,Gomorrah,33,0,2008,1590-gomorrah
495,The Golden Age of Television,,3,1955,3560-the-golden-age-of-television
501,Paris&comma; Texas,48,1 3 7,1984,1502-paris-texas
503,Lola Mont&egrave;s,61,7 1,1955,938-lola-mont-s
504,Hunger,34,10 2,2008,477-hunger
505,Make Way for Tomorrow,35,3,1937,2350-make-way-for-tomorrow
507,Bigger Than Life,74,3,1956,1929-bigger-than-life
512,Vivre sa vie,15,1,1962,3060-vivre-sa-vie
515,The Fugitive Kind,36,3,1960,17998-the-fugitive-kind
516,Stagecoach,180,3,1939,980-stagecoach
519,Close-up,104,20,1990,1092-close-up
521,Mystery Train,26,3,1989,2057-mystery-train
522,Red Desert,9,1 0,1964,1454-red-desert
523,Night Train to Munich,37,2,1940,25039-night-train-to-munich
533,Crumb,51,3,1995,2104-crumb
535,Merry Christmas Mr. Lawrence,38,2 8,1983,27512-merry-christmas-mr-lawrence
536,The Thin Red Line,29,3,1998,27513-the-thin-red-line
537,The Magician,52,12,1958,27521-the-magician
538,Paths of Glory,66,3,1957,27522-paths-of-glory
539,House,39,8,1977,27523-house
541,The Night of the Hunter,40,3,1955,27525-the-night-of-the-hunter
542,Antichrist,41,11,2009,27524-antichrist
543,Modern Times,42,3,1936,27526-modern-times
545,Easy Rider,43,3,1969,27528-easy-rider
546,Five Easy Pieces,161,3,1970,27529-five-easy-pieces
552,Broadcast News,223,3,1987,27535-broadcast-news
555,Sweet Smell of Success,102,3,1957,27542-sweet-smell-of-success
560,White Material,151,1,2009,27559-white-material
561,Kes,130,2,1970,27560-kes
562,Blow Out,83,3,1981,27561-blow-out
563,Something Wild,75,3,1986,27603-something-wild
565,The Great Dictator,42,3,1940,27605-the-great-dictator
566,Insignificance,70,2,1985,27618-insignificance
568,Kiss Me Deadly,169,3,1955,27620-kiss-me-deadly
570,Zazie dans le m&eacute;tro,57,1,1960,27626-zazie-dans-le-m-tro
575,The Killing,66,3,1956,27751-the-killing
576,Secret Sunshine,131,25,2007,27750-secret-sunshine
578,The Complete Jean Vigo,44,1,1934,819-the-complete-jean-vigo
579,The Phantom Carriage,149,12,1921,27630-the-phantom-carriage
580,Le beau Serge,84,1,1958,27817-le-beau-serge
581,Les cousins,84,1,1959,27816-les-cousins
587,Three Colors,56,1,1993,844-three-colors
588,Three Colors: Blue,56,1,1993,27731-three-colors-blue
589,Island of Lost Souls,123,3,1932,27861-island-of-lost-souls
591,12 Angry Men,36,3,1957,27871-12-angry-men
592,Design for Living,100,3,1933,27872-design-for-living
595,The Moment of Truth,164,0,1965,27674-the-moment-of-truth
596,Three Outlaw Samurai,144,8,1964,27734-three-outlaw-samurai
597,Tiny Furniture,208,3,2010,28317-tiny-furniture
599,Vanya on 42nd Street,57,3,1994,28022-vanya-on-42nd-street
603,David Lean Directs No&euml;l Coward,62,2,1945,861-david-lean-directs-no-l-coward
608,Harold and Maude,193,3,1971,27896-harold-and-maude
609,&iexcl;Alambrista!,211,3,1977,28101--alambrista
612,Certified Copy,104,20 0,2010,28353-certified-copy
614,Summer with Monika,52,12,1953,27638-summer-with-monika
619,Le Havre,60,1 16,2011,28352-le-havre
620,La promesse,206 207,24,2011,28073-la-promesse
622,Weekend,173,2,2011,27783-weekend
624,Quadrophenia,69,2,1979,27774-quadrophenia
625,Eating Raoul,108,3,1982,27767-eating-raoul
629,Sunday Bloody Sunday,93,2,1971,28025-sunday-bloody-sunday
630,Rosemary&apos;s Baby,65,3,1968,27927-rosemary-s-baby
631,Trilogy of Life,2,0,1971,916-trilogy-of-life
635,Weekend,15,1,1967,28441-weekend
636,Heaven&apos;s Gate,152,3,1980,28036-heaven-s-gate
638,Following,111,2,1999,28030-following
639,The Qatsi Trilogy,81,3,1983,934-the-qatsi-trilogy
647,On the Waterfront,73,3,1954,27899-on-the-waterfront
650,A Man Escaped,22,1,1956,27848-a-man-escaped
651,Badlands,29,3,1973,28406-badlands
653,Gate of Hell,128,8,1953,28199-gate-of-hell
654,Repo Man,71,3,1984,28051-repo-man
655,Pierre Etaix,168,1,1966,947-pierre-etaix
657,3:10 to Yuma,68,3,1957,27910-3-10-to-yuma
658,Medium Cool,105,3,1969,28426-medium-cool
659,Life Is Sweet,77,2,1990,27982-life-is-sweet
660,Things to Come,72,2,1936,27552-things-to-come
662,Safety Last!,135 136,3,1923,28446-safety-last
663,Shoah,167,1,1985,27968-shoah
665,Babette&apos;s Feast,179,11,1987,27894-babette-s-feast
666,The Devil&apos;s Backbone,82,18 19,2001,27914-the-devil-s-backbone
667,Seconds,118,3,1966,28428-seconds
669,Charulata,166,28,1964,28447-charulata
670,To Be or Not to Be,100,3,1942,27690-to-be-or-not-to-be
672,3 Films by Roberto Rossellini Starring Ingrid Bergman,87,0,1952,982-3-films-by-roberto-rossellini-starring-ingrid-bergman
676,I Married a Witch,115,3,1942,27771-i-married-a-witch
679,Zatoichi the Blind Swordsman,,8,1962,1012-zatoichi-the-blind-swordsman
680,City Lights,42,3,1931,27558-city-lights
681,Frances Ha,195,3,2013,28560-frances-ha
682,Investigation of a Citizen Above Suspicion,141,0,1970,27911-investigation-of-a-citizen-above-suspicion
683,Nashville,172,3,1975,28427-nashville
691,Thief,114,3,1981,28024-thief
696,Foreign Correspondent,4,3,1940,27692-foreign-correspondent
697,Tess,65,2,1979,28594-tess
700,Fantastic Mr. Fox,112,3,2009,28565-fantastic-mr-fox
701,Persona,52,12,1966,28491-persona
706,Master of the House,6,11,1925,27804-master-of-the-house
710,Judex,97,1,1963,28047-judex
711,A Hard Day&apos;s Night,96,2,1964,28547-a-hard-day-s-night
713,The Essential Jacques Demy,150,1,1964,1055-the-essential-jacques-demy
720,The Big Chill,197,3,1983,28610-the-big-chill
721,Love Streams,18,3,1984,28032-love-streams
723,Y tu mam&aacute; tambi&eacute;n,88,18,2001,28005-y-tu-mam-tambi-n
724,All That Jazz,45,3,1979,28561-all-that-jazz
725,Eraserhead,199,3,1977,28382-eraserhead
726,Macbeth,65,2,1971,28020-macbeth
727,The Innocents,183,3,1961,28569-the-innocents
728,Sundays and Cyb&egrave;le,122,1,1962,27912-sundays-and-cyb-le
729,The Complete Jacques Tati,163,1,1958,27912-sundays-and-cyb-le
734,The Shooting,30,3,1966,28580-the-shooting
738,Tootsie,109,3,1982,28609-tootsie
739,Safe,120,3,1995,28548-safe
740,The Bitter Tears of Petra von Kant,98,23,1972,27953-the-bitter-tears-of-petra-von-kant
741,My Winnipeg,31,6,2007,27969-my-winnipeg
743,La Ci&eacute;naga,188,29,2001,28113-la-ci-naga
745,Don&apos;t Look Now,70,2,1973,27928-don-t-look-now
746,A Day in the Country,47,1,1936,28072-a-day-in-the-country
748,Watership Down,137,3,1978,28620-watership-down
749,The Soft Skin,1,1,1964,27640-the-soft-skin
757,The Rose,170,3,1979,28572-the-rose
760,State of Siege,121,1,1972,28048-state-of-seige
761,Valerie and Her Week Of Wonders,85,5,1970,27860-valerie-and-her-week-of-wonders
767,My Beautiful Laundrette,203,2,1985,28044-my-beautiful-laundrette
768,The French Lieutenant's Woman,232,2,1981,28037-the-french-lieutenant-s-woman
769,Day for Night,1,1,1973,28698-day-for-night
770,Dressed to Kill,83,3,1980,28686-dressed-to-kill
772,Blind Chance,56,15,1981,28555-blind-chance
773,Breaker Morant,198,17,1980,27766-breaker-morant
775,A Room with a View,134,2,1986,28597-a-room-with-a-view
776,Moonrise Kingdom,112,3,2012,28757-moonrise-kingdom
778,A Special Day,213,0,1977,28659-a-special-day
780,Code Unknown,142,1,2000,28738-code-unknown
781,In Cold Blood,143,3,1967,28788-in-cold-blood
782,The Apu Trilogy,166,28,1956,1145-the-apu-trilogy
786,Dont Look Back,189,3,1967,28655-dont-look-back
787,Jellyfish Eyes,133,8,2013,28759-jellyfish-eyes
788,Speedy,214,3,1928,28497-speedy
790,Lady Snowblood,200,8,1973,28589-lady-snowblood
795,Gilda,201,3,1946,27909-gilda
797,The Emigrants,147,12,1971,28701-the-emigrants
799,The Kid,42,3,1921,27566-the-kid
800,The Graduate,218,3,1967,28578-the-graduate
807,Barcelona,221,3,1994,28691-barcelona
812,The Player,172,3,1992,28835-the-player
821,Dr. Strangelove&comma; or: How I Learned to Stop Worrying and Love the Bomb,66,3 2,1964,28822-dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb
825,A Touch of Zen,217,13,1971,28791-a-touch-of-zen
829,A Taste of Honey,196,2,1961,28734-a-taste-of-honey
830,Chimes at Midnight,191,19,1966,28756-chimes-at-midnight
833,Cat People,226,3,1942,28696-cat-people
834,Blood Simple,175 176,3,1984,28852-blood-simple
837,Dekalog,56,15,1988,28661-dekalog
838,Pan's Labyrinth,82,19,2006,28948-pan-s-labyrinth
840,The Executioner,215,19,1963,28980-the-executioner
842,Akira Kurosawa&apos;s Dreams,79,8,1990,28700-akira-kurosawa-s-dreams
843,Punch-Drunk Love,219,3,2002,27916-punch-drunk-love
844,One-Eyed Jacks,190,3,1961,28979-one-eyed-jacks
845,The Squid and the Whale,195,3,2005,28830-the-quid-and-the-whale
849,His Girl Friday,202,3,1940,27903-his-girl-friday
851,Fox and His Friends,98,7,1975,27957-fox-and-his-friends
856,The Before Trilogy,19,3,1995,1237-the-before-trilogy
864,Being There,193,3,1979,29009-being-there
868,Tampopo,210,8,1985,28880-tampopo
869,Rumble Fish,185,3,1983,28993-rumble-fish
871,Dheepan,227,1,2015,29103-dheepan
872,Ghost World,51,3,2001,28687-ghost-world
886,L&apos;argent,22,1,1983,27588-l-argent
888,Stalker,55,31,1979,28150-stalker
889,The Breaking Point,212,3,1950,28695-the-breaking-point
890,Meantime,77,2,1984,28805-meantime
897,Barry Lyndon,66,3 2,1984,29008-barry-lyndon
904,Election,220,3,1999,29335-election
909,Night of the Living Dead,229,3,1968,29331-night-of-the-living-dead
938,sex&#44; lies&#44; and videotape,231,3,1989,28832-sex-lies-and-videotape
950,Some Like It Hot,95,3,1959,29162-some-like-it-hot
951,True Stories,230,3,1986,29038-true-stories
956,24 Frames,104,20,2017,29399-24-frames
